county_FIPS,unemployed_num,unemployment_rate
19151,100,2.4
19153,7960,3.1
19155,1326,2.8
19157,325,3.1
19159,78,3.1
19161,150,2.8
19163,3145,3.6
19165,159,2.4
19167,408,2
19169,1136,2
19171,332,3.5
19173,72,2.2
19175,200,3.1
19177,113,3
19179,800,4.5
19181,748,2.7
19183,358,2.9
19185,85,3.1
19187,722,3.7
19189,163,3.1
19191,363,3.1
19193,1723,3.2
19195,127,3
19197,224,3.4
20000,53737,3.6
20001,305,4.8
20003,163,3.9
20005,365,5.2
20007,69,2.8
20009,507,3.6
20011,310,4.4
20013,171,3.2
20015,1192,3.8
20017,37,2.6
20019,68,4.7
20021,394,3.9
20023,33,2.5
20025,27,2.5
20027,142,3.7
20029,167,4.3
20031,215,5.2
20033,26,2.9
20035,642,3.8
20037,800,4.2
20039,40,3.1
20041,352,3.8
20043,146,3.5
20045,2082,3.2
20047,47,3.1
20049,50,4.2
20051,425,2.5
20053,83,3.1
20055,550,2.7
20057,503,2.8
20059,528,3.7
20061,567,4.9
20063,33,2.3
20065,40,3.6
20067,111,3.2
20069,67,2
20071,16,1.8
20073,135,4.2
20075,38,2.3
20077,98,3.7
20079,687,4.1
20081,50,2.2
20083,25,2.5
20085,226,3.1
20087,360,3.5
20089,45,3.5
20091,10102,3
20093,51,2.5
20095,125,3.7
20097,34,2.5
20099,466,4.5
20101,26,3.3
20103,1418,3.9
20105,48,2.8
20107,258,5.8
20109,35,2.1
20111,635,3.8
20113,449,2.7
20115,226,3.6
20117,153,2.8
20119,56,2.5
20121,646,3.7
20123,94,2.7
20125,784,5.2
20127,94,3.1
20129,45,3.8
20131,133,2.4
20133,317,5.2
20135,39,2.9
20137,63,2.2
20139,314,3.9
20141,55,2.7
20143,94,3.1
20145,101,3.3
20147,83,3
20149,375,3.1
20151,161,3.2
20153,33,2.3
20155,1161,3.9
20157,69,2.8
20159,172,3.2
20161,1070,3
20163,96,3.8
20165,53,3.2
20167,117,3.3
20169,978,3.2
20171,62,2.2
20173,10384,4.2
20175,343,3.5
20177,3337,3.7
20179,31,2.3
20181,83,2.9
20183,55,2.8
20185,66,3.3
20187,28,2.8
20189,85,3.2
20191,407,3.8
20193,109,2.6
20195,48,3.3
20197,116,3.2
20199,22,2.6
20201,87,2.9
20203,28,2.4
20205,188,4.7
20207,70,4.4
20209,4025,5.2
21000,97533,4.8
21001,422,5.9
21003,360,4
21005,469,4
21007,271,7.5
21009,855,4.5
21011,364,7.7
21013,667,7.7
21015,2625,3.8
21017,442,4.5
21019,1278,7
21021,621,4.9
21023,217,5.7
21025,320,8.6
21027,468,5.8
21029,1721,4.1
21031,278,5.4
21033,277,5.2
21035,806,4.3
21037,1832,3.7
21039,161,6.8
21041,226,4.5
21043,950,9.6
21045,315,4.7
21047,1463,6
21049,780,4.5
21051,460,8.6
21053,246,6.4
21055,214,5.4
21057,152,5.2
21059,2038,4.3
21061,284,5.9
21063,219,10.4
21065,312,5.8
21067,6205,3.5
21069,359,5.9
21071,916,8.1
21073,990,4
21075,145,7
21077,178,4.4
21079,365,4.8
21081,552,4.8
21083,914,5.8
21085,647,5.9
21087,233,4.5
21089,1019,7.5
21091,202,4.9
21093,2176,4.5
21095,629,9.7
21097,391,4.5
21099,350,4.3
21101,974,4.4
21103,326,4
21105,133,7.3
21107,945,4.9
21109,338,8.3
21111,17016,4.3
21113,976,3.7
21115,581,8.4
21117,3348,3.9
21119,374,8.3
21121,745,7.4
21123,276,4.6
21125,1411,5.7
21127,443,8.9
21129,157,8.3
21131,269,9.9
21133,575,9.2
21135,424,9
21137,517,5.5
21139,276,7.4
21141,521,4.3
21143,170,5.7
21145,1754,5.9
